DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
00:40.2,24.139,102.503,31,7.5,Ms,90,,,0,NEI,1970010440
35:51.8,-9.628,151.458,8,6.2,Ms,85,,,0,NEI,1970010640
12:39.1,-34.741,178.568,179,6.1,Mb,59,,,0,NEI,1970010840
07:08.6,6.825,126.737,73,6.1,Mb,91,,,0,NEI,1970011040
05:39.0,60.28,-152.66,85,6,ML,0,,,,AK,1970010640
19:51.2,-25.8,-177.349,80,6.5,Mb,175,,,0,NEI,1970012040
33:05.4,42.519,142.966,46,6.4,Ms,199,,,0,NEI,1970012040
51:38.5,7.017,-104.298,33,6.6,Ms,140,,,0,NEI,1970012140
01:20.5,-12.579,166.37,50,6.4,Ms,91,,,0,NEI,1970012640
08:48.0,15.532,-99.484,21,6.5,Ms,100,,,0,NEI,1970020440
05:58.3,12.598,122.117,11,6.6,Ms,94,,,0,NEI,1970020540
10:41.6,23.096,100.775,33,6.1,Ms,57,,,0,NEI,1970020640
07:36.8,30.576,103.031,33,6,Ms,94,,,0,NEI,1970022440
07:56.5,50.13,-179.5898,7,6,ML,0,,,,AK,1970010640
52:31.1,52.5898,-175.04,161,6.1,ML,0,,,,AK,1970010640
30:35.4,12.134,143.707,33,6.2,Ms,82,,,0,NEI,1970030440
01:10.5,-19.008,168.603,41,6.5,Ms,61,,,0,NEI,1970030940
58:26.2,44.798,148.87,40,6,Mb,65,,,0,NEI,1970031040
38:32.4,57.39,-153.97,16,6.5,ML,0,,,,AK,1970010640
39:17.8,-29.653,-69.499,119,6,Mb,118,,,0,NEI,1970031540
33:28.7,51.34,173.75,8,6.5,ML,0,,,,AK,1970010640
35:22.1,-21.981,126.682,33,6.2,Mb,138,,,0,NEI,1970032440
36:45.8,0.37,119.349,8,6.7,Ms,131,,,0,NEI,1970032740
02:23.4,39.182,29.488,20,7.1,Ms,199,,,0,NEI,1970032840
08:20.3,-17.066,168.513,232,6,Mb,172,,,0,NEI,1970032940
40:50.1,-49.622,164.309,33,6,Ms,17,,,0,NEI,1970033040
34:05.6,15.761,121.717,37,7.3,Ms,161,,,0,NEI,1970040740
23:56.6,15.434,121.801,33,6.2,Ms,92,,,0,NEI,1970040840
05:42.9,59.72,-142.49,7,6.2,ML,0,,,,AK,1970010640
01:44.0,15.064,122.052,24,7,Ms,108,,,0,NEI,1970041240
14:21.4,15.069,122.665,12,6,Ms,92,,,0,NEI,1970041540
33:18.2,59.84,-142.43,7,6.8,ML,0,,,,AK,1970010640
15:47.0,59.6,-142.72,20,6,ML,0,,,,AK,1970010640
39:12.5,-18.826,169.298,246,6.3,Mb,181,,,0,NEI,1970042040
22:36.4,14.618,-92.69,41,6.3,Ms,80,,,0,NEI,1970042940
01:32.8,14.518,-92.603,33,7.3,Ms,76,,,0,NEI,1970042940
32:59.1,14.698,-93.192,19,6.4,Ms,128,,,0,NEI,1970043040
53:19.7,-41.573,80.087,33,6.2,Ms,31,,,0,NEI,1970050440
12:28.0,43.034,47.089,44,6.5,Ms,135,,,0,NEI,1970051440
13:15.1,50.169,91.252,33,6.7,Ms,159,,,0,NEI,1970051540
03:42.2,-55.89,-28.328,70,6,Mb,124,,,0,NEI,1970052040
05:06.0,27.215,140.121,382,6.2,Mb,195,,,0,NEI,1970052740
05:39.0,40.304,142.987,33,6,Ms,112,,,0,NEI,1970052740
02:19.0,-11.629,166.335,50,6.1,Ms,100,,,0,NEI,1970052940
23:27.3,-9.176,-78.823,43,7.8,Ms,101,,,0,NEI,1970053140
45:52.7,-9.793,-78.587,55,6,Mb,31,,,0,NEI,1970053140
36:10.2,-9.296,-79,49,6,Mb,99,,,0,NEI,1970060140
53:06.4,42.475,78.758,20,6.6,Ms,118,,,0,NEI,1970060540
02:54.9,-24.527,-68.499,112,6.3,Mb,110,,,0,NEI,1970061140
46:38.3,-59.113,157.767,33,7.2,Ms,27,,,0,NEI,1970061140
06:16.6,-2.887,139.096,32,6.1,Ms,80,,,0,NEI,1970061240
00:11.3,-51.954,-73.849,33,6.6,Ms,85,,,0,NEI,1970061440
41:40.3,-8.73,118.828,33,6,Mb,21,,,0,NEI,1970061540
14:52.4,-54.336,-63.645,33,7,Ms,66,,,0,NEI,1970061540
56:14.8,-22.193,-70.515,52,6.2,Mb,98,,,0,NEI,1970061940
09:08.3,51.753,-131.024,12,7,Ms,81,,,0,NEI,1970062440
13:58.6,-7.916,158.693,69,6.1,Mb,142,,,0,NEI,1970062540
30:12.6,-8.66,124.159,41,6.2,Ms,126,,,0,NEI,1970062840
56:15.3,-51.035,139.487,33,6,Ms,29,,,0,NEI,1970070240
17:44.2,-19.187,-173.45,33,6,Ms,66,,,0,NEI,1970071640
04:46.5,-22.098,-174.713,33,6.2,Ms,89,,,0,NEI,1970071740
22:40.1,-3.789,152.4,20,6,Ms,45,,,0,NEI,1970071940
41:10.7,32.18,131.695,34,7,Ms,176,,,0,NEI,1970072540
10:36.0,32.188,131.814,35,6.1,Mb,139,,,0,NEI,1970072640
16:19.3,26.016,95.396,59,6.5,Mb,188,,,0,NEI,1970072940
52:19.5,37.824,55.876,19,6.6,Ms,114,,,0,NEI,1970073040
58:43.8,14.258,51.84,33,6.5,Ms,77,,,0,NEI,1970073040
08:05.4,-1.459,-72.558,651,7.1,Mb,205,,,0,NEI,1970073140
15:19.7,-13.874,166.788,46,6.4,Ms,71,,,0,NEI,1970081040
22:20.0,-14.123,166.65,33,7,Ms,55,,,0,NEI,1970081140
10:52.4,-60.607,-25.399,33,6,Mb,16,,,0,NEI,1970081140
39:36.7,-13.857,166.492,43,6.3,Ms,75,,,0,NEI,1970081240
24:11.5,12.015,-86.542,33,6.3,Ms,77,,,0,NEI,1970081240
22:38.5,-8.878,117.979,117,6,Mb,45,,,0,NEI,1970081340
52:08.4,60.7,-145.38,30,6,ML,0,,,,AK,1970010640
30:19.5,-56.587,-142.483,33,6.4,Ms,74,,,0,NEI,1970082440
46:09.0,52.38,151.597,645,6.6,Mb,300,,,0,NEI,1970083040
11:16.1,17.718,147.617,40,6.4,Ms,77,,,0,NEI,1970090140
49:20.5,13.01,144.428,47,6,Mb,118,,,0,NEI,1970091640
04:54.2,-6.467,154.616,39,6.5,Ms,96,,,0,NEI,1970092340
02:29.3,6.212,-77.594,8,6.6,Ms,149,,,0,NEI,1970092640
38:36.2,6.432,-77.407,8,6.5,Ms,149,,,0,NEI,1970092740
53:04.8,-3.591,86.161,33,6.3,Ms,104,,,0,NEI,1970101040
59:42.9,-31.896,-177.933,33,6.2,Ms,78,,,0,NEI,1970101040
16:49.6,-31.809,-178.131,33,6.3,Ms,63,,,0,NEI,1970101140
38:06.0,-32.052,-177.823,32,6.1,Ms,58,,,0,NEI,1970101140
15:37.3,43.515,147.966,30,6,Ms,131,,,0,NEI,1970101440
09:49.4,9.023,93.874,33,6.3,Ms,98,,,0,NEI,1970102540
